comment,judge
在矮子乐盛行的时代“脚踏实地”显得尤为可贵[笑cry],正面
因为一下子变得学生感了，没有了中年男的油腻[笑cry],正面
被踢爽了[晕],负面
明天就去买一双[太开心],负面
low耀凭什么排第一个,负面
但是我怎么感觉不太搭[允悲],正面
不应该放Redmi吗？[doge],负面
瘦啊，所以没有油,正面
魅族:当年要不是我……[笑而不语],正面
苏志燮《我背后的陶斯》发布会 黄种男人穿帆布鞋的完美姿态,正面
素的,正面
你•喜欢吗？[嘻嘻],正面
苏志燮穿最好看 http://t.cn/A6EituK3,正面
的确,正面
特别亮眼哈哈哈哈,正面
@陶霖不叫桃子 [好运连连],正面
很突出,正面
第二条新闻证明张雪峰说的对。,负面
卤蛋的头发也没白花钱[doge],负面
真羡慕能自然怀孕的 更羡慕那种全程没啥反应（甚至到快生才知道的）[悲伤],正面
到冬天我配的也是匡威[酷],正面
东北雨姐作为网红主播，其言行举止对消费者具有极大的影响力。然而，她却在产品标签上弄虚作假，欺骗消费者，这种行为严重损害了消费者的信任，也破坏了直播带货行业的健康发展。,正面
哈哈哈,正面
不知道的以为是男大！谁知道他已经当爸了[跪了],正面
橙色本来就是大自然里最少的颜色，所以橙色是最显眼的，这个他们在创业之初应该就规划好了小米的主题色。,正面
的人高，底薄且宽，会显得人更矮,正面
我们自家的20元一斤都不卖,负面
赞成✅,负面
[doge],中性
25元5斤都买不来真的红薯粉,负面
薄荷糖鞋,正面
他,正面
狡辩。不花钱重新设计之前，不也是一样的效果麽[允悲],负面
卖的罚死她，生产的罚完进去[怒][怒][怒],负面
666,中性
但是！！！但是！！！薄底鞋千万不要穿轻飘飘裤管还是收着的裤头(甚至都不是开放直筒)，你们理解我说的哪种布料吗，很轻的尼龙,负面
非常显眼,正面
话分两头说，如果当地想保护雨姐度过这次坎儿，会动用到哪些法条？ 请律所也一并说说。[允悲],正面
之前特别火的那个牙通牙也是这个小姐姐,正面
省能耗是因为他就三千多的电池 换安卓五千多 他需要省?,正面
需要较真的人[打call][打call][打call],正面
是耶，新来个老师来听课，看不见脸看到穿个Polo衫和匡威，我以为是学生，很清爽。后面才知道是老师[笑哈哈],正面
灵动岛无疑是成功的软硬件结合。 不知道你哪来这么多见解,正面
哈[笑cry],正面
woc血栓长这个样子[傻眼][傻眼][傻眼][傻眼],负面
她的屈髋能力好强,负面
已经结丹了 ，就是位置有点不对[允悲],正面
特别喜欢匡威,正面
所以是什么,正面
起猛了，以为宝宝在妈妈肚子玩球,正面
相比长焦，我感觉我日常广角镜头用的更多,正面
卖婚庆用品的模特,正面
显得有少年感，而且感穿的人个字都不低,正面
丈母娘，儿媳妇？[允悲][允悲][允悲]逻辑没问题吗,正面
已经金丹期了！这这这居然挖出来了,负面
该买的人还是会买。[doge]主打一用一个不吱声。,负面
有吗？,正面
老演员了,正面
咸蛋黄,中性
这老玩意儿有多少子女要结婚？,正面
拒绝人参公鸡[允悲],正面
怎么会这么圆,负面
哈哈，苹果你这是在夸自己吗？,正面
[good],中性
我看到了最后，结局惊喜,正面
拒绝人身攻击,正面
这个丈母娘，应该避一避锋芒才对啊。这不，明显是抢了女儿的风头嘛！？[允悲]。,正面
反正钱是赚不完的,负面
医生，为什么血栓在心房里，会有喘的症状呢？,正面
一想到这个节目可能maybe大概只有蔡健雅认真玩音乐我就想笑,正面
雅雅姐刚回答完问题，紧接着主持人就说：龙龙是金曲制造机哈（果断关闭了直播）,正面
震惊,负面
我还以为是神经,负面
你妈这么真诚的眼神换来主持人嘲讽式的哈哈大笑，真不值得,正面
怎么取出来呢？,负面
@这也要发: 一想到这个节目可能maybe大概只有蔡健雅认真玩音乐我就想笑,正面
命大,正面
雅雅的身段还是放的太低了,负面
目前相机按钮确实不好用，而且拍照时候经常误触调焦,负面
雅雅能不能参加完第一期紧急退出,正面
这是在修炼内丹呢。,正面
真想长焦好，不如研究相机和镜头[doge],正面
只想说这些人站在雅雅面前 讲得出乐理吗？,正面
是房颤导致的血栓吗,负面
Face ID都能吐槽了？搞笑,负面
什么玩意笑死我了 主持人还在硬凹,负面
这不是血块吗？为什么叫血栓？心脏负重运行增肌了吗？真是奇观。,正面
我不行了,负面
好神奇，捏开里面是什么,正面
看你妈隔壁,负面
除了喘，咳嗽会这样吗,正面
这个节目和土赐的声音的区别是？,负面
安卓的单孔就像支钉烧一样难受，真的是瑕疵越小越像瑕疵，还不如药丸倒像个组件,负面
下肢深静脉血栓怎么治疗呢,正面
@-脆香米饼饼- 只能说雅雅真有修养,正面
我雅在这个节目就是可以发脾气有什么疑问吗,正面
话说，体内有这个会有症状表现出来吗，不然有的人可能都不知道自己长了,正面
这不是精元吗,负面
卓仔天天骂果，都想抄越果[666],正面
16p跟pm一样的摄像头 要会调 实况解析力很差的 http://t.cn/A6EWhmSe,负面
安卓有支付级别的面容识别吗？,负面
我雅一脸认真换来了什么,负面
装巨魔好像可以全局高刷,负面
现在换肯定会亏好多钱的吧[苦涩],正面
这节目到底给了我雅多少钱,正面
苹果压根不懂人体工学。大屏手机，左侧返回，真是招笑。还好自适应结晶了，都是左撇子。,正面
第一，安卓120Hz既流畅又能做到自适应刷新率降低功耗，有哪个安卓是全程120Hz？第二，灵动岛的功能并不依赖灵动岛本身，反而因为安卓的小开孔能让信息显示更多，而且FaceID的实用性完全比不上屏幕指纹，尤其是超声波屏下指纹。第三，安卓相机模组凸起最多的是大底主摄，潜望更多是占用横向空间……[汗],正面
感觉我雅淡淡地生气了但是因为咖位没有那谁大只能作罢,正面
老天这也太土了吧,正面
我老是刷到16p拍的很好的！,负面
额我好无语啊[允悲]服了[淡淡的]必须真诚！用心！勇气！[给你小心心][给你小心心][给你小心心],正面
我怎么在dy上面看到说16p拍照也好看[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕],正面
我们这边的六个字是轻佻，浮夸，造作,正面
长焦是伟大发明[跪了],负面
@威尼斯bh,正面
长时间都用过苹果和安卓的。才能知道苹果确实更好用,正面
不是说两个只有大小和电池的差别吗[淡淡的] 我买的也是16p还没收到,负面
演唱会坐看台的 我觉得16P 很绝咧[允悲] http://t.cn/A6EjUWMu,正面
所以希望安卓天下第一啊！！ 打死苹果！ [酷],正面
看到评论区突然懂了，我还以为是坤[允悲],正面
都让你说完了[太开心],正面
这俩不是一个COMS吗🤔,负面
请大家不要攻击coser🙏🙏这里只想谴责须蛇主页不负责任又嘴硬的恶劣行径[嘻嘻],负面
真不错哦，加油,正面
@阴阳师须蛇主页 出来狡辩[来][来][来],负面
哈哈哈,正面
您好！我是这次事发中须佐之男的coser，这边想要纠正这位老师并不是我们两个的任何一位，她这次出的是女体月读。并且她虽然确实是主磕须蛇但是没有任何唆使我和出八岐大蛇的老师进行各种会产生误会的动作。请麻烦您解释清楚不要随便说明错误的信息——,正面
16Pro 两款镜头参数一模一样，怎么可能会有区别[允悲],正面
落毛凤凰不如鸡,正面
coser妹妹很可爱，请大家不要攻击🙏但是好无情的须蛇街道，翻脸不认人啊[吃惊],正面
录音说找到了会管，coser找到了立马割席，二皮脸是这样的,正面
p和pm的摄像头不是一样的吗？,负面
我还以为是棒子参鸡汤的不要[笑cry][笑cry][笑cry],正面
coser穿着那么重的衣服为爱发电，转头就被开除粉籍了，看的我都觉得心梗[黑线],正面
这俩摄像头模组一模一样 可以去搜搜拍摄技巧[doge],负面
我的15真的很丑拍照,负面
@GloamingYun 我max拍的像💩为什么,负面
我以为是不要鸡参（不要吱声）,正面
大人们，我那天出的是月老师，并不是须蛇中的任何一位，谢谢。我只是之前和他们有过合影而已,正面
这coser也是惨，磕到这个地步了结果转头被开除粉籍（？），前一秒老师后一秒我们没有任何关系，啊？？,正面
@jj-jackson-,中性
能再表演一下吗就是那个心脏病犯了需要人照顾[可怜][可怜][可怜],正面
禁止人身攻击！,负面
你们虚设主页真不是人啊……,负面
一些可能会对妹妹造成不好影响的信息已删除～这里放沟通截图[爱你] http://t.cn/A6ElRpG7,负面
以这群体无底线的程度来说，有预谋的线上线下倒打一耙自导自演倒贴碰瓷zy估计以后还会有很多很多次[允悲],负面
还是喜欢须蛇解线下在🍊里道歉，结果线上依旧造谣不停那死鸭子嘴硬的的样子，有你们这么厚的脸皮做什么都会成功的,正面
名字都不敢说了 去问问教员对于现在风气认同吗,正面
不羁的人生,正面
上一个博主发的是胡志明送苹果,负面
还以为不要参鸡汤[笑cry],正面
这么豁达，为什么那10年里但凡有一点沾边扣上不敬帽子的都要被批斗被殴打被关押呢？[微笑],正面
这是那个（主动或被动）取关超话的coser吗？没事时是老师，有事就变陌生人，须蛇主页的嘴怕不是谎言之神开过光的[笑cry],负面
-个人也吃不了啊,负面
像一个外国名字Jason[允悲][允悲][允悲],正面
啊这。把🍊当大戏台唱戏还不够还就地踢人啊[允悲],正面
上一个是送芒果，佐小将编故事造神是有一手的,正面
啊？抵制参鸡汤？[doge][doge],正面
放坏了才吃掉……[允悲],正面
须蛇主页为了打须右把同担当工具人，须蛇们快反抗啊[可怜][可怜],负面
芒果呢,正面
虚设主页开除人家coser还把coser踢出超话就为了栽赃须右，线下被👮🏻‍♂️按头道歉了线上还在嘴硬,负面
太假了，苹果伤口都会很快氧化变黑,正面
昨天须蛇主页线下道歉完还发公告还倒打一耙呢，再出来表演一下啊[阴险][阴险],负面
可以，这很虚设姐，接下来是不是要开始“臣妾百口莫辩”了[剑网3],负面
虚设主页原来就是谎言头子，月读看了都甘拜下风[疑问],负面
楼主吃一个。,正面
农村没有一盏电灯，遥遥领先,正面
番邦进贡，帝心仁慈，分赏左右[doge],正面
真的是童年阴影，主角被这个鬼追[苦涩][苦涩][苦涩],正面
[笑cry]他们也许现在在维权的路上！退伍军人那群人去看看！//@竹本_笨:几十年之后，咬牙切齿的是另外一群人//@子在洹上乐:24箱苹果换了半个山,负面
来啦,正面
下面的人不豁达,正面
[心],正面
把领导开了吧，能省不止三万,负面
为什么不敢吃,负面
来啦来啦,正面
如果是现在那么这个苹果可能会被炒到远超苹果本身的价值,正面
末尾的淘汰三个 不打粮食的留着干嘛,负面
应该让人先试吃一下，没事了大家再吃,负面
从对话看，我觉得领导没问题。,负面
，，,负面
为什么不拉桌子上[二哈],负面
凡所有相皆为虚妄,正面
整顿职场？,负面
//@均波vip:不存在。你记错了吧。越南不产苹果产芒果，反而要向中国进口苹果。朝鲜确实产苹果//@没人比我更懂大金毛:上一个博主发的是胡志明送苹果,正面
人才,正面
送芒果也可以发一下,负面
漂亮,正面
看的出来 壁纸君闺蜜很任性啊[doge][doge][doge],正面
拉领导办公室饮水机里,负面
富婆[泪],正面
拉到头上才对,负面
现在有没有膜推荐啊，我好奇市面上一群人说说遮盖啥的，完全get不到啊,正面
在商场里碰到很多年轻服务员普遍缺少礼貌和服务精神,正面
等会，关注这么久了你说你是女的？[二哈],正面
如果办公室有个扫地机器人就更好了,正面
应该拉在他的键盘上，椅子上,负面
这孩子一辈子都顺风顺水吧？父母一定很宠溺吧，我觉得整顿职场的前提是你有实力有能力，有些人啥也不是确要整顿职场，那不是整顿职场，是整顿自身。,正面
用人单位应该负责[允悲][允悲][允悲],正面
二弟莫愁，忠义之心比像素更清晰，来日共赏盛世华章。,正面
有监控吧，💩有点贵了[允悲][允悲],正面
盲猜都是LG屏,正面
做得对，做得好。。事先应该大量喝冷饮，吃不干净的食物。。才能达到最强的视觉冲击力 [打call],正面
我是15pm感觉不如租个三星  拍真人放大了糊 拍大屏曝光了[淡淡的][淡淡的],正面
干得漂亮[衰],正面
炫富不是被禁止了吗,负面
@烦烦Nora  下一次的拍切姿势[小黄人高兴]。￼,负面
人才[笑cry],正面
我很好奇，她最生气那次买的是啥？[允悲],正面
最近和hr开了某位入职一年同事 一样样的调调 并且认为公司开除（实际走的劝退流程 自己交信）无需交接工作了 好说歹说离职前两天东西一撂跑了…还南京某名校985本硕，我还得感谢她没送我一坨[嘻嘻],负面
我不信你只看姿势[笑而不语][坏笑],负面
拒绝人身攻击,正面
还是直屏好贴膜,负面
神经病,负面
是中日大战吗？ 竟敢打 本国国宝,负面
你闺蜜好任性[doge][doge][doge],正面
整上一桶不好吗？现在的年轻人太懒了,负面
说明黑人不需要大补。,负面
哈哈[哈哈],正面
怪兽怪兽   乖乖   摸摸头   。。。。叫啥来着[偷笑][偷笑][偷笑][偷笑][偷笑]南宫问雅,负面
漂亮[打call],正面
她蹦得好高,正面
艾回收卖了1460，9月底来的话可以1600+，我就是懒，在家睡了这么多天。,负面
厉害了[666],负面
拒绝羊鸡[允悲],正面
@饼饼chiharu_Komorebi 20号电切就拍这个，这几天你去借个棒子[打call],正面
我以为是鸡X人生,正面
这东西也不是很好[doge][doge][doge],正面
我前几个月也把12卖给xhs上一个回收的了，卖的1500,负面
发现红薯粉条中掺入了木薯淀粉，没有红薯成分，并在上门维权时与东北雨姐团队发生冲突。,正面
等姐通知，我也想卖,负面
这不得多推两张壁纸给她[doge],负面
12 128g 找了个收手机的卖了1550,负面
@小狐狸riki_RIRIKARU 下次拍切姿势有？,正面
那心情好的时候不得买五台,正面
试试趣评测，全网最高，小程序搜趣评测就行,正面
@_Yozoh xdb！,负面
有钱任性了,正面
@沙奔奔 姜姜姐我推荐这家也蛮好，回收几次体验很好！可以比比价,正面
大腿和手臂肌肉好厉害[哆啦A梦害怕],正面
闺蜜真多 又是炒股又是买手机的,正面
我11 128 爱回收卖了1564[doge],负面
怎么跳这么高的,负面
好熟悉的床单,正面
第一幅是赐死还是LJ啊？,负面
没记错的话， 12是不是用了3年呀姜姜姐,负面
起飞了,中性
姜姜有回收毛绒玩具的渠道不？想把家里的处理掉,负面
画第一幅的作者是不是有其他想法啊,正面
群怎么被解散了？,正面
姜姐麻烦看看我[爱你]可不可以申请加入你那个1群呀[抱一抱]想加入你的粉丝群[鼓掌],负面
第一幅莫名的眨眼睛，第二幅怎么看都舒服[泪],正面
授权店的不划算 我去年在转转卖了个用了一年半的13 2800+,负面
咋飞起来的,正面
第二幅更传神,正面
[汗],负面
第一幅是AI生成吧，很多别扭的地方,负面
好漂亮,正面
我换过电池的12在手机店以旧换新抵了1400块钱，换了华为,负面
[允悲]文化层次分明,正面
别急，说不定下个月就出新款了，你可以再等等，变成最新款再卖，岂不是更香？开玩笑的，赶紧出手吧，电子产品可是越等越不值钱哦~,负面
第一幅画我以为画的玉体横陈[吃瓜],正面
上个月卖的，换过屏（屏是保修期内换的原装）和电池，我觉得现在能卖1600+ http://t.cn/A6EYKLcQ,负面
杨贵妃马嵬坡,正面
我也马上准备卖 等你消息,负面
[赞],正面
一顿操作猛如虎，不如淘宝250！,正面
我年初的时候爱回收上卖12p才2320,负面
第一幅图是素材拼的吧？光影都不统一的，哪里能叫画。,正面
什么[苦涩]去年我12月卖的128g的 电池81 才给了我1000块钱,负面
第一幅像是被凌辱致死的，不符合实际情况。第二幅还行,负面
历史无真相,正面
不如锻刀大赛,负面
我今年6月份苹果12 256G 电池81  2000咸鱼卖掉,负面
不配上第二幅还真不容易看出来，单看一，还以为集体逛……,正面
铁罐大马是你这样整的么[疑问],正面
XS 256  800,正面
浪费流量,负面
吃饭的嘴[doge],正面
拿潜艇的耐压外壳打刀。,负面
那还是第二幅吧，君王掩面救不得。第一幅不象贵妃，象勾栏,正面
不就是一张嘴过来拿饭吗[笑而不语],正面
上链接[doge],负面
第一张图肯定不是中国人画的。,负面
[笑而不语],正面
单从美观上看怎么都是第二幅，第一幅说是西方欣赏的都勉强，看把杨贵妃yy成什么样了，人体结构什么的都奇怪,正面
亚马孙😆,负面
有英文的。。。,负面
这不是基本操作么 铁皮盒子里还可以放涂改液 [二哈],负面
没有新闻了吗？？？,负面
第一幅更适合西方国家，第二幅才是中国,正面
成品不怎么好看,负面
互联网的壁可能根本就不该打开,正面
讲的是什么事件,正面
就挺难评的，反正只要是金属的，那盒子里加什么都行，然后烧红以后机器冲压，机器切割，机器打磨，这就是被人吹上天的大马士革刀？真的是一点技术含量都没有,负面
如果没钱也任性不起来[允悲],正面
什么呀,正面
四方发型肖主任转型跟富婆做珠宝，留下发型之美，求变不忘初心。,正面
想起了我隗姐，买了一把刀好像就是什么大马革刀，就那样提着刀就淦方治了[淡淡的],正面
富婆[泪]，这样富姐闺蜜，还有没有[泪]，给我一个,正面
小国寡民,负面
三战必赢，因为国外two   b格外多[doge],正面
3D热弯膜嘛，语录？,正面
张家界是韩国敬老的飞地,负面
一百美刀差不多了,正面
这部剧可以说是我童年的阴影[污],正面
我朋友杭州的，十一还去日本了，应该可以吧,正面
还有照相爱宣誓[doge],正面
